username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
McginnisGraehme,"Hello, my name is Graehme McGinnis I'm a student studying to become a Social Worker in hopes that I can make other peoples lives better.",,1113,28,1272,4,In 3 days this account has acquired almost 15k followers. Internet is going crazy over the #Tesla Bot. It’s MUCH bigger than the #Cybertruck event. https://t.co/ygNZ7SFYCs,['Tesla']
waIouija,pasquetti,,135,17,2096,25,the cybertruck will probably never make it to production but its competitors will and that’s hilarious to me. elon musk showed a fake product that was never going to make it to production and created an entire new car market in the process to nobody’s benefit,[]
JaneidyEve,"latina | write about SpaceX for @Tesmanian_com | consciousness arose miraculously, enough reason to live passionately | https://t.co/q9eyTsfeFP","Starbase, Texas, USA",7247,19590,37053,0,@AstroJordy @elonmusk @Tesla cybertruck is my dream car ♡,[]
BurladoJenny,"#syndicateinitiative
#synscholars",phillipines,196,39,504,11,"Within a few months I can pay off this #teslamodel3 $ collect for the #cybertruck and fully pay that off 👌🏿 all because of #AxieInifinty &amp; fuck it ill save for the #teslabot too, crazy how a game can bring financial freedom at the same time helping others from bs jobs &amp; shit pay https://t.co/DgPtK96EQ3","['teslamodel3', 'cybertruck']"
SudipPa93285545,hi,,11,0,5,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
360rawmagazine,"Digital Content platform,fashion lifestyle, luxury, entertainment, Press.  frequency of daily web publishing. © Copyright 2007- 2021 All Rights Reserved.",MIAMI-USS United States. Col,4977,1050,3690,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
andrej_drame,"Naturally handsome man and loving nature,animals..,people",Republic of Slovenia,582,5880,22785,0,"@berniiieu @trustthebeardo @gmbankrupt When Cybertruck hit the road you will see the people go crazy for it!
Be cool 😎",[]
roy_andrew,A shell of a guy,Canaderp,160,6,336,0,@28delayslater Cybertruck doesn't need a garage Elon said 😁,[]
mr_marcoribeir,"Marco Ribeiro
Global Macro 🌍 
📍South African Born, Mayfair Based🇬🇧🇵🇹🇿🇦
📸 MY ONLY ACCOUNT
📊📈 Forex & Multi-Asset Trader - Portfolio Ma",,662,27,671,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
PhotoKazDotCom,Vancouver based techie.  I work in IT and pursue photography as a hobby.,"Vancouver, BC",51,58,602,0,"@ICannot_Enough I agree,  but AP is limited to good conditions, with clear lines on the road, etc.  it would crash A LOT if it was forced to drive where people drive daily.  I think Tesla cars are safer but it’s hard to make judgements today.  My next car will hopefully be a Cybertruck 😎",[]
BusetbudiSetia1,Mencari pengetahuan yg banyak,,12,5,411,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
Johanne86522855,I am Johannes mad engineer & scientist supreme of the land of the vast and free. villainous with pride degenerates at my side. pronounced as written.18+,United States of city-states,5002,267,15819,11,"The #TeslaBot reminds me of @alexriesart Metahuman WIP design. Also the Crew Dragon capsule design reminded me of the Spear painting design. 

Bonus points if you spot a #cybertruck design in these screenshots😂 https://t.co/8jvFHONMJR",['TeslaBot']
HaroldNScott,"I'm Harold, 27 years old, very passionate about Tesla and music.

I also love to travel so any recommendations of places to visit would be appreciated!","Bradenton, FL",115,26,3125,1,"@elonmusk this window treatment homage to the Cybertruck at Giga Texas is truly 👨‍🍳 😚 
👏🏼 👏🏼 👏🏼 https://t.co/iWq9I81EPS",[]
snakethejake34,Main: @perronbread57 I'm probably watching hockey right now. Squidward Community College class of 2024. Founder of @tacobell,Texas,102,25,793,0,Day 421 of asking @elonmusk for a Cybertruck until he gives me one,[]
chiangster1,"investing for a better future for next generation! tesla, cryptos, genomics! Fate loves irony!",,148,5,414,0,"@_bennettm_ @WholeMarsBlog Buy a Model 3 to hedge against price increase. When cybertruck is ready, sell the model 3 with a profit and buy the cybertruck. Since price has been increasing due to overwhelming demand!",[]
William00852736,,,110,35,190,4,In 3 days this account has acquired almost 15k followers. Internet is going crazy over the #Tesla Bot. It’s MUCH bigger than the #Cybertruck event. https://t.co/ygNZ7SFYCs,['Tesla']
tkrreddy,Fan of Tesla and Elon Musk,"Toronto, Ontario",209,160,5802,4,In 3 days this account has acquired almost 15k followers. Internet is going crazy over the #Tesla Bot. It’s MUCH bigger than the #Cybertruck event. https://t.co/ygNZ7SFYCs,['Tesla']
MashableSEA,"News, inspiration, and fun for the connected generation in SEA. 

Follow us on...
Facebook: https://t.co/bP7gsSUVT0
Instagram: https://t.co/CgxoDczLAv",Malaysia,33,4273,16166,0,"The electric truck was seen in a video during the live-streamed presentation explaining the artificial intelligence used for the Autopilot driving system on Tesla cars.
#MashableSEA #Tech #ArtificialIntelligence #AIDay #Cybertruck #Tesla 

https://t.co/XEL5gyLkGn","['MashableSEA', 'Tech', 'ArtificialIntelligence', 'AIDay', 'Cybertruck', 'Tesla']"
Pauldanne1,follow the laws of physics,,185,72,12474,14,"Randy @Terafactorytx shares his 🤯🤯observations of Tesla Giga Texas design! 
Will we see a Cybertruck design right on the Cybertruck Gigafactory @elonmusk https://t.co/lacaPgCZYc",[]
FlapjackMane,/koh-bee/ |im in collage| Spelling Bee champoin| i like dogs,,99,464,20560,0,Give me the Tesla Cybertruck and I can beat the entire Continental Army,[]
hikingskiing,I bought $TSLA each year since 2015 and hold every share. #AIDay,Not investment advice,8814,12173,8272,4,In 3 days this account has acquired almost 15k followers. Internet is going crazy over the #Tesla Bot. It’s MUCH bigger than the #Cybertruck event. https://t.co/ygNZ7SFYCs,['Tesla']
Koogle91417074,,,39,1,1202,0,@drivecomau @StanphylCap Distraction and free publicity just like cybertruck broken windows.,[]
Reenath,The 2 most important days in your life are “The day you were born and the day you find out why”.,,157,294,91965,46,Beginnings of Giant Cybertruck spotted on GigaTexas @elonmusk 🤯🤯🤯 it looks so massive! @Tesla https://t.co/Pc4G4UejfR,[]
xXWilderGamerXx,"Former sandwich artist
Former Funko Reach truck driver
https://t.co/R08mKVA2JN",,623,189,9662,0,"@j_power1 @elonmusk @SawyerMerritt @squawksquare @garyblack00 i knew it had to be SOMETHING, i was thinking a cybertruck from the front but its a side view and i LOVE IT!!!!!",[]
wpgguy,Nominal,"Winnipeg, Manitoba",2159,1451,481,0,"Hey @elonmusk both my car and truck are trying to hold on but I need you to get moving on the cybertruck real quick.   

Please and thanks.",[]
BLKMDL3,,"Los Angeles, CA",1109,13948,37766,0,@FthePump1 Waiting for Cybertruck for it.,[]
